"id","source_website_address","city","zbkzj","kbjj","k1","k2"
"ah-luan-15d32e68-5ce7-4b6e-8254-822fef607e61_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=15d32e68-5ce7-4b6e-8254-822fef607e61&categorynum=001001012&relationguid=15d32e68-5ce7-4b6e-8254-822fef607e61","六安市","4748076.46","4036774.99",,
"ah-luan-163c4878-25bc-4b34-be81-4208c8bffe15_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=163c4878-25bc-4b34-be81-4208c8bffe15&categorynum=001001012&relationguid=163c4878-25bc-4b34-be81-4208c8bffe15","六安市",,,,
"ah-luan-1691bfbe-4b29-4046-96e3-61a12d598ef1_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=1691bfbe-4b29-4046-96e3-61a12d598ef1&categorynum=001001012&relationguid=1691bfbe-4b29-4046-96e3-61a12d598ef1","六安市","4600409.47","4254918.72",,
"ah-luan-16d7958b-5827-493f-bf38-23d596db59ea_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=16d7958b-5827-493f-bf38-23d596db59ea&categorynum=001001012&relationguid=16d7958b-5827-493f-bf38-23d596db59ea","六安市","1496000.00","1025000.00",,
"ah-luan-17afc150-932d-4263-854b-517956aa81bc_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=17afc150-932d-4263-854b-517956aa81bc&categorynum=001001012&relationguid=17afc150-932d-4263-854b-517956aa81bc","六安市","24111036.41","22387099.93",,
"ah-luan-17b0e9bd-608e-4535-a039-a5ddf78e9fbc_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=17b0e9bd-608e-4535-a039-a5ddf78e9fbc&categorynum=001001012&relationguid=17b0e9bd-608e-4535-a039-a5ddf78e9fbc","六安市","5198559.75","4429172.92",,
"ah-luan-182b977c-498d-46c2-bdff-7f6292888fae_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=182b977c-498d-46c2-bdff-7f6292888fae&categorynum=001001012&relationguid=182b977c-498d-46c2-bdff-7f6292888fae","六安市","814318.46","505358.60",,
"ah-luan-18b1c419-f6f9-420d-95fa-fa4b9eb8fd77_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=18b1c419-f6f9-420d-95fa-fa4b9eb8fd77&categorynum=001001012&relationguid=18b1c419-f6f9-420d-95fa-fa4b9eb8fd77","六安市","22031309.02","21292269.62",,
"ah-luan-19370f5c-2109-4d88-aeaa-025c58e33228_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=19370f5c-2109-4d88-aeaa-025c58e33228&categorynum=001001012&relationguid=19370f5c-2109-4d88-aeaa-025c58e33228","六安市","9100893.13","8240858.72",,
"ah-luan-1957ba3d-2742-431d-808c-4b6dd5a1972e_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=1957ba3d-2742-431d-808c-4b6dd5a1972e&categorynum=001001012&relationguid=1957ba3d-2742-431d-808c-4b6dd5a1972e","六安市","6468118.10","5025727.76",,
"ah-luan-199b319e-fe6c-40fb-a250-55cbab999837_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=199b319e-fe6c-40fb-a250-55cbab999837&categorynum=001001012&relationguid=199b319e-fe6c-40fb-a250-55cbab999837","六安市",,,,
"ah-luan-19d12edf-27b0-4e71-b896-b1612f653fc9_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=19d12edf-27b0-4e71-b896-b1612f653fc9&categorynum=001001012&relationguid=19d12edf-27b0-4e71-b896-b1612f653fc9","六安市","3400500.00","2125300.00",,
"ah-luan-1a04d524-2a1d-426c-98ff-070222b8971e_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=1a04d524-2a1d-426c-98ff-070222b8971e&categorynum=001001012&relationguid=1a04d524-2a1d-426c-98ff-070222b8971e","六安市","6997621.82","5947978.55",,
"ah-luan-1a5b298b-b9d9-4b54-bb48-119f7e23b39f_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=1a5b298b-b9d9-4b54-bb48-119f7e23b39f&categorynum=001001012&relationguid=1a5b298b-b9d9-4b54-bb48-119f7e23b39f","六安市","13007592.71","12422573.30",,
"ah-luan-1ac9bba4-7918-47dc-811d-8cc8523d2c78_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=1ac9bba4-7918-47dc-811d-8cc8523d2c78&categorynum=001001012&relationguid=1ac9bba4-7918-47dc-811d-8cc8523d2c78","六安市","3642200.00","2185300.00",,
"ah-luan-1bbaa488-0dad-4e7b-a1fc-090fde309c0f_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=1bbaa488-0dad-4e7b-a1fc-090fde309c0f&categorynum=001001012&relationguid=1bbaa488-0dad-4e7b-a1fc-090fde309c0f","六安市",,,,
"ah-luan-1c0c59bb-38e6-4947-b65f-015853f98374_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=1c0c59bb-38e6-4947-b65f-015853f98374&categorynum=001001012&relationguid=1c0c59bb-38e6-4947-b65f-015853f98374","六安市","15134817.96","13878612.24",,
"ah-luan-1c259fef-f13d-4c73-9892-b8bd6b420ee9_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=1c259fef-f13d-4c73-9892-b8bd6b420ee9&categorynum=001001012&relationguid=1c259fef-f13d-4c73-9892-b8bd6b420ee9","六安市","2068004.74","1757824.71",,
"ah-luan-1c9fec00-1b56-4c0a-a3a3-2c826d82e52b_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=1c9fec00-1b56-4c0a-a3a3-2c826d82e52b&categorynum=001001012&relationguid=1c9fec00-1b56-4c0a-a3a3-2c826d82e52b","六安市","72000000000.0","65000000000.0",,
"ah-luan-1cc3d595-485b-4543-ba07-9a2c8f21b2f0_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=1cc3d595-485b-4543-ba07-9a2c8f21b2f0&categorynum=001001012&relationguid=1cc3d595-485b-4543-ba07-9a2c8f21b2f0","六安市","2347436947000.0","203405500.00",,
"ah-luan-1d653350-ddea-49db-9911-bcab98962094_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=1d653350-ddea-49db-9911-bcab98962094&categorynum=001001012&relationguid=1d653350-ddea-49db-9911-bcab98962094","六安市","5992025.70","5898220.60",,
"ah-luan-1e9e6d2e-fa03-42f4-9e8b-f0a55bc750e3_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=1e9e6d2e-fa03-42f4-9e8b-f0a55bc750e3&categorynum=001001012&relationguid=1e9e6d2e-fa03-42f4-9e8b-f0a55bc750e3","六安市","4552800.00","2276400.00",,
"ah-luan-1f4900f9-e21a-4281-8f20-c0da45e00571_001","http://ggzy.luan.gov.cn/jyxxparentDetail.html?infoid=1f4900f9-e21a-4281-8f20-c0da45e00571&categorynum=001001012&relationguid=1f4900f9-e21a-4281-8f20-c0da45e00571","六安市","843600000000.0","79992000.00",,
