id,county,classify,project_type,title,zbkzj,kbjj,k1,k2,numbers_bidders,publish_time,source_website_address,trade_method
ah-huainan-6b6c8bb3-e892-4e36-a2e7-c1ae655ed5c2-1KB,寿县,工程建设,建筑工程,寿县炎刘镇中心卫生院加固补强工程项目,1240333.33,1163184.59,0.5,0.97,148,2022-12-19,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20221219/6b6c8bb3-e892-4e36-a2e7-c1ae655ed5c2-1KB.html,公开招标
ah-huainan-6bdd1f68-5b98-41f7-81bb-109b1140abd2,寿县,工程建设,建筑工程,寿县实验小学西校区附属工程建设项目,34379560.93,29427432.72,-14.8,-14.0,936,2021-09-16,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20211111/6bdd1f68-5b98-41f7-81bb-109b1140abd2.html,公开招标
ah-huainan-6cf0b714-ac61-466e-88f6-c6aade788b56-1KB,凤台县,工程建设,工程货物类,凤台县凤凰湖新区安置区八期电梯采购及安装,9990000.0,9574000.0,,,18,2023-06-21,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012003/20230621/6cf0b714-ac61-466e-88f6-c6aade788b56-1KB.html,公开招标
ah-huainan-6cf636b1-825c-423e-9ff6-30b09e596dc6-1KB,,工程建设,建筑工程,淮师附小洞山校区教学楼拆除重建工程施工项目,12040000.0,11493114.07,0.0,,72,2023-06-21,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230621/6cf636b1-825c-423e-9ff6-30b09e596dc6-1KB.html,公开招标
ah-huainan-6e2bb296-4574-4ded-90a1-0a2e99dfe0a4-1KB,市级,工程建设,建筑工程,安联海德公馆入户大堂及公共区域装饰工程,7500000.0,6053227.48,0.0,,81,2023-02-27,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230227/6e2bb296-4574-4ded-90a1-0a2e99dfe0a4-1KB.html,公开招标
ah-huainan-6e2cfb9a-cf7e-40c3-8e65-99205de14d98-1KB,寿县,工程建设,建筑工程,寿县县医院独立感染病区室内装饰及相关配套附属工程项目,7275154.31,6231242.42,,,126,2023-02-28,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230228/6e2cfb9a-cf7e-40c3-8e65-99205de14d98-1KB.html,公开招标
ah-huainan-6e4c7665-d1a7-4f9e-8659-cce1c9447ab4-1KB,市级,工程建设,建筑工程,多村联建标准化车间项目EPC总承包,16219500.0,15821160.0,,,16,2023-04-19,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230419/6e4c7665-d1a7-4f9e-8659-cce1c9447ab4-1KB.html,公开招标
ah-huainan-6f60ac8b-d36a-424d-a9d9-7c6bcbb40799-1KB,寿县,工程建设,建筑工程,寿县安丰塘镇申桥村党群服务中心综合楼工程,5340608.07,5027114.38,0.55,0.98,172,2023-04-18,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230418/6f60ac8b-d36a-424d-a9d9-7c6bcbb40799-1KB.html,公开招标
ah-huainan-6fa001e4-c2e8-4fa9-861d-0b879ba8689f-1KB,,工程建设,建筑工程,枸杞初中、迎河小学教育强国推进工程第二标段,7140000.0,6448162.3,0.45,0.94,182,2023-06-27,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012002/20230627/6fa001e4-c2e8-4fa9-861d-0b879ba8689f-1KB.html,
ah-huainan-70832da3-b28b-482e-9365-0b4067ade313-1KB,市级,工程建设,建筑工程,淮南高新区新型显示材料产业园一期工程总承包（EPC）,419213424.5,376158126.43,0.0,,23,2023-05-10,http://jy.ggj.huainan.gov.cn/jyxx/012001/012001012/012001012001/20230510/70832da3-b28b-482e-9365-0b4067ade313-1KB.html,公开招标
